id;nom_prestation;nom_utilisateur;nom_mission;nom_client;ec_unite;ec_mensuelle;ec_totale;ec_transport_mensuel;ec_fab_materiel;ec_util_materiel_mensuel;ec_comm_mensuel;nbr_profils;duree_mois;date_debut;date_fin;type_presta;lieupresta;donnees_saisies;donnees_reperes
1;où commissionnaire pourvu que;parlementaire commis de cuisine;ouin cultiver tellement;tchou tchouu prévenir;tellement toc;25969.9;24543.72;30985.34;29446.38;8621.88;13195.51;19478;29230;2024-05-23;2024-05-24;REG;CLI;true;true
2;vouloir démontrer;prestataire de services;électorat marron si;sur au-dehors;prou errer vu que;31076.17;28997.9;25657.38;18997.8;28661.22;22002.82;28646;13099;2024-05-23;2024-05-23;FOR;CDS;true;false
3;oublier bzzz à l'insu de;après que;administration miam sans que;pauvre psitt antagoniste;puisque candide;11401.73;10367.58;22653.63;16673.11;26513.98;27077.63;30864;824;2024-05-24;2024-05-24;FOR;CDS;true;false
4;équipe de recherche;de peur que meubler jadis;entièrement bien que commis;équipe de recherche;calme autrement secours;22356.29;11617.89;29228.32;32482.95;12715.75;7123.75;909;21770;2024-05-23;2024-05-24;REG;CLI;true;true
5;de peur que atchoum;camarade secours inventer;aïe sincère candide;avant que;mairie ding ding;12346.37;9572.26;25975.96;3105.75;21002.73;7568.47;23408;21384;2024-05-23;2024-05-23;REG;CLI;true;false
6;prestataire de services via prendre;dring naguère;atteindre a à la merci;clientèle mépriser;penser guide;5223.53;17921.02;23397.6;9374.38;6885.58;30950.58;18924;13147;2024-05-24;2024-05-23;REG;CDS;true;false
7;attraper;présidence antagoniste terne;vorace;coûter à raison de par suite de;svelte percevoir présidence;26046.1;14968.83;21160.01;13246.88;26506.37;21404.04;12232;22533;2024-05-23;2024-05-23;FOR;CDS;true;false
8;foule aïe;durant proche de assassiner;puisque afin que affable;partenaire à la faveur de insuffisamment;de façon à ce que étant donné que;16448.11;18931.01;665.92;23796.08;6725.09;7839.18;13236;18729;2024-05-23;2024-05-24;REG;CDS;false;true
9;délectable;peu quant à;antique errer autour de;porte-parole sage autrement;vers alors que;32521.79;28908.7;25597.95;31182.94;22992.07;1771.74;29756;6531;2024-05-24;2024-05-23;FOR;CDS;true;false
10;aspirer sitôt là;loin de oups;pourvu que ding;cuicui miam comme;afin que prétendre;31141.57;13100.16;6974.93;7187.68;10957.81;18503.85;17409;16567;2024-05-23;2024-05-24;REG;CDS;true;false
