id;nb_mois_presta;nb_sem_conges_estime;duree_hebdo;duree_teletravail;duree_reu_audio;duree_reu_visio;nb_mails_sans_pj;nb_mails_avec_pj;veille_pause;veille_soir;veille_weekend;nb_terminaux;nb_deplacements;ec_mensuelle;ec_totale_preta;ec_transport_mensuel;ec_fab_materiel;ec_util_materiel_mensuel;ec_comm_mensuel
1;29697;3516;27021;24671;26114.45;30418.36;11720;9818;false;true;false;723;25899;28369.41;4746.78;26677.2;6223.02;20148.7;2697.29
2;15224;25641;18769;32010;18561.97;11067.91;24932;9591;true;true;false;19709;1774;11368.59;19120.26;12312.25;669.4;30970.61;233.86
3;15378;631;12512;4612;1450.11;1512.59;23220;16;true;false;true;934;24645;16411.39;10108.24;4809.74;18169.22;17387.6;11512.58
4;15992;30340;4102;18487;3503.73;6094.82;22048;16301;false;true;false;31184;6868;28606.39;2004.87;10498.24;22437.5;14985.8;1121.4
5;4943;5792;6707;26339;14849.99;6803.18;3972;4417;true;false;true;6977;7266;4862.41;24907.68;29449.21;8248.08;16322.25;12876.83
6;20067;4933;3163;19084;630.56;14965.33;16551;30303;true;true;false;30123;25195;6935.02;31685.75;1209.83;25233.83;32070.6;16557.06
7;12567;14822;10365;14411;14650.71;10501.55;5898;2706;true;true;true;10945;7953;19564.83;8880.71;963.46;10065.41;10687.5;1154.98
8;9753;4062;30157;17052;20907.31;29374.22;16612;14225;true;false;true;17660;27465;32250.35;12472.93;569.86;21507.52;26620.32;17402.29
9;22109;13749;13282;15889;28094.12;26126.75;29432;7227;true;true;false;17867;23147;8093.68;2429.03;26219.78;4808.92;631.98;2176.85
10;22386;12125;186;4060;9841.97;21825.33;28939;31190;true;true;false;739;8642;15576.23;23537.97;19363.69;15090.94;10493.54;10723.79
